Posicao,Nome,Qnt-Normal,Qnt-FULL,Media-Preco,Mediana-Preco,Media-Vendas,Mediana-Vendas,Link,GoogleTrends,scrapy_datetime
1º MAIS POPULAR,chumbinho 5 5,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/chumbinho-5-5,NA,2022-05-22 13:41:24
2º MAIS POPULAR,colchonete casal,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/colchonete-casal,NA,2022-05-22 13:41:24
3º MAIS POPULAR,mira red dot,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/mira-red-dot,NA,2022-05-22 13:41:24
4º MAIS POPULAR,red dot,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/red-dot,NA,2022-05-22 13:41:24
5º MAIS POPULAR,bandana balaclava,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/bandana-balaclava,NA,2022-05-22 13:41:24
6º MAIS POPULAR,decathlon,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/decathlon,NA,2022-05-22 13:41:24
7º MAIS POPULAR,mira laser,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/mira-laser,NA,2022-05-22 13:41:24
8º MAIS POPULAR,garrafa de agua,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/garrafa-de-agua,NA,2022-05-22 13:41:24
9º MAIS POPULAR,bretelle ciclismo,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/bretelle-ciclismo,NA,2022-05-22 13:41:24
10º MAIS POPULAR,coldres taticos,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/coldres-taticos,NA,2022-05-22 13:41:24
11º MAIS POPULAR,coldre,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/coldre,NA,2022-05-22 13:41:24
12º MAIS POPULAR,bandagem elastica,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/bandagem-elastica,NA,2022-05-22 13:41:24
13º MAIS POPULAR,garrafinha de agua,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/garrafinha-de-agua,NA,2022-05-22 13:41:24
14º MAIS POPULAR,squeeze termico,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/squeeze-termico,NA,2022-05-22 13:41:24
15º MAIS POPULAR,abafador eletronico,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/abafador-eletronico,NA,2022-05-22 13:41:24
16º MAIS POPULAR,defesa pessoal,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/defesa-pessoal,NA,2022-05-22 13:41:24
17º MAIS POPULAR,bomba de ar,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/bomba-de-ar,NA,2022-05-22 13:41:24
18º MAIS POPULAR,munhequeira crossfit,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/munhequeira-crossfit,NA,2022-05-22 13:41:24
19º MAIS POPULAR,garrafinha termica,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/garrafinha-termica,NA,2022-05-22 13:41:24
20º MAIS POPULAR,camisa nike masculina,0,0,0.0,0,0,0,https://lista.mercadolivre.com.br/camisa-nike-masculina,NA,2022-05-22 13:41:24
